YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1948   -4.5   -0.5    5.6   16.1   19.2   26.2   25.9   25.5   20.5   12.3    3.0   -0.4    -3.6    13.6    25.9    11.9   11.96
1949   -2.4    0.8    5.4   14.3   21.2   24.8   24.3   25.1   19.5   13.8    4.9   -3.8    -0.7    13.6    24.7    12.7   12.61
1950   -3.3   -0.6    6.7   13.9   19.0   23.5   25.7   25.2   19.8   13.2    3.2   -1.9    -2.6    13.2    24.8    12.1   11.88
1951   -6.6   -1.8    4.6   12.6   21.1   25.4   26.1   26.0   18.5   13.9    4.8    1.2    -3.4    12.8    25.8    12.4   11.89
1952   -2.5   -4.1    4.6   14.4   21.3   26.1   26.5   24.5   20.3   12.8    3.9   -5.1    -1.8    13.4    25.7    12.3   12.42
1953   -5.7   -3.3    7.2   13.9   19.1   24.1   26.5   23.8   20.4   14.9    4.4   -1.8    -4.7    13.4    24.8    13.2   11.68
1954   -3.2   -0.6    3.8   13.2   19.1   22.3   23.6   24.5   19.6   12.4    5.9   -5.5    -1.9    12.0    23.5    12.6   11.57
1955   -4.5   -0.9    2.1   13.6   20.2   25.1   26.8   25.6   20.2   11.5    4.7   -0.7    -3.6    12.0    25.8    12.1   11.58
1956   -3.6   -2.9    2.7   13.1   18.3   22.3   26.0   24.0   20.4   11.8    1.4   -5.5    -2.4    11.4    24.1    11.2   11.07
1957   -5.1   -5.7    1.9   13.2   20.9   23.2   25.7   24.4   17.9   12.7    5.6   -1.9    -5.4    12.0    24.4    12.1   10.77
1958   -4.8   -1.4    4.0   13.7   20.1   25.3   26.4   24.1   20.4   11.5    4.8    0.8    -2.7    12.6    25.3    12.2   11.85
1959   -4.1    0.4    7.8   13.6   21.1   23.7   25.9   24.8   19.1   13.6    2.7   -1.5    -1.0    14.2    24.8    11.8   12.45
1960   -5.5    2.2    5.8   14.0   19.3   25.3   26.8   25.2   20.5   12.7    3.6   -3.4    -1.6    13.0    25.8    12.3   12.37
1961   -3.4    1.5    7.9   15.2   21.3   25.3   27.8   25.0   19.3   12.0    6.5   -2.8    -1.8    14.8    26.0    12.6   12.92
1962   -2.9   -0.6    5.0   13.5   21.8   24.1   26.4   26.1   20.6   12.6    3.7    0.3    -2.1    13.4    25.5    12.3   12.29
1963   -3.7   -0.9    7.3   13.0   19.7   26.5   27.4   25.7   20.2   12.2    4.8   -2.4    -1.4    13.3    26.5    12.4   12.71
1964   -2.8   -5.0    4.4   12.0   21.3   24.6   25.9   24.6   19.4   12.0    5.6   -1.2    -3.4    12.6    25.0    12.3   11.63
1965   -4.2   -1.0    5.1   11.6   21.5   25.3   27.6   25.5   20.9   14.8    5.3   -3.2    -2.1    12.7    26.1    13.7   12.60
1966   -5.0   -1.8    4.1   13.3   20.4   24.5   26.3   25.7   19.4   13.5    4.4   -4.0    -3.3    12.6    25.5    12.4   11.80
1967   -4.1   -2.6    5.5   13.5   22.8   24.4   26.0   25.8   19.0   13.7    2.7   -5.3    -3.6    13.9    25.4    11.8   11.89
1968   -4.9   -4.2    6.4   14.9   21.0   26.2   27.6   24.9   20.4   11.9    4.6   -1.0    -4.8    14.1    26.2    12.3   11.96
1969   -5.7   -4.4    2.8   13.6   20.0   24.0   25.3   24.9   20.3   13.0    3.5   -2.7    -3.7    12.1    24.7    12.3   11.36
1970   -4.9   -1.3    2.7   14.3   20.4   23.5   25.5   24.5   19.6   13.7    3.7   -2.4    -3.0    12.5    24.5    12.3   11.58
1971   -3.5   -2.2    2.4   13.7   20.5   24.5   26.3   24.5   19.9   13.2    6.9   -3.1    -2.7    12.2    25.1    13.3   11.98
1972   -4.2   -3.2    5.8   14.5   18.9   26.2   27.8   24.5   19.2   12.8    4.1   -1.3    -3.5    13.1    26.2    12.0   11.94
1973   -3.3   -1.7    7.2   15.3   19.5   23.0   25.4   25.1   20.0   11.9    5.1   -1.0    -2.1    14.0    24.5    12.3   12.18
1974   -3.5   -1.3    4.7   14.3   20.0   24.1   25.7   25.2   19.7   11.7    4.1   -2.9    -1.9    13.0    25.0    11.8   11.98
1975   -2.6   -1.3    6.9   15.3   19.8   24.7   26.9   25.7   21.4   13.9    6.2   -2.0    -2.3    14.0    25.8    13.8   12.83
1976   -3.0    0.8    4.6   12.1   19.6   23.1   24.5   23.7   19.9   12.3    2.7   -1.7    -1.4    12.1    23.8    11.6   11.53
1977   -6.9   -1.3    6.9   15.2   19.4   23.8   26.8   25.0   20.6   14.2    5.5    0.0    -3.3    13.8    25.2    13.4   12.29
1978   -2.6   -1.4    5.5   14.9   19.4   25.6   26.7   24.8   20.1   12.9    5.9   -1.8    -1.3    13.3    25.7    13.0   12.65
1979   -3.3    0.4    5.5   11.4   19.3   23.4   26.0   24.5   19.2   14.7    3.4   -0.7    -1.6    12.1    24.6    12.4   11.89
1980   -3.6   -2.0    5.1   11.4   20.2   25.1   27.2   24.6   19.1   12.3    6.9   -3.9    -2.1    12.2    25.6    12.8   12.13
1981   -4.8   -1.4    7.2   16.0   20.5   25.4   27.8   24.8   20.3   11.3    2.3   -1.4    -3.4    14.6    26.0    11.3   12.12
1982   -4.3    0.4    7.0   15.6   21.6   23.8   25.0   25.8   20.3   14.8    5.1   -1.5    -1.8    14.7    24.9    13.4   12.81
1983   -2.9   -2.1    6.8   14.7   21.2   25.4   27.3   25.0   21.6   13.0    5.7    0.1    -2.2    14.2    25.9    13.4   12.85
1984   -4.5   -2.5    3.9   13.0   20.6   25.1   26.9   25.4   19.9   13.3    4.8   -3.1    -2.3    12.5    25.8    12.7   12.17
1985   -4.7   -1.9    3.4   14.8   19.5   24.2   25.5   25.0   18.6   13.8    3.8   -3.6    -3.2    12.6    24.9    12.1   11.58
1986   -3.7   -1.8    6.9   15.0   21.3   25.3   25.1   24.5   19.8   11.4    3.4   -1.7    -3.0    14.4    25.0    11.5   11.97
1987   -3.6    0.1    4.1   13.5   19.9   23.3   26.6   24.8   21.0   13.7    3.9   -0.3    -1.7    12.5    24.9    12.9   12.13
1988   -2.9   -1.4    4.4   15.0   20.1   24.9   25.9   24.4   21.2   14.1    6.9   -0.2    -1.5    13.2    25.1    14.1   12.69
1989   -2.0    1.6    8.4   16.1   21.1   24.8   25.7   25.1   19.3   13.8    4.6   -0.2    -0.2    15.2    25.2    12.6   13.19
1990   -4.9   -0.6    7.6   13.7   19.6   24.8   25.6   25.4   20.2   15.3    6.4   -0.8    -1.9    13.6    25.3    14.0   12.74
1991   -2.3    0.1    4.3   13.9   19.9   24.1   25.8   27.1   20.4   13.7    4.6   -1.8    -1.0    12.7    25.7    12.9   12.57
1992   -1.1    1.8    6.7   15.5   20.5   23.5   26.8   24.6   20.5   12.1    3.4   -0.3    -0.4    14.2    25.0    12.0   12.71
1993   -3.6    1.6    8.1   14.0   21.4   25.4   25.2   25.2   21.3   13.9    3.6   -0.8    -0.8    14.5    25.3    12.9   12.98
1994   -1.6    0.8    5.5   17.3   21.0   26.8   27.7   26.5   21.1   14.1    6.4   -1.4    -0.5    14.6    27.0    13.9   13.73
1995   -0.7    2.1    7.7   14.6   19.8   24.3   25.8   25.4   19.0   14.5    7.6   -0.4     0.0    14.0    25.2    13.7   13.22
1996   -2.2   -0.4    6.2   14.3   21.6   25.4   25.5   23.9   20.7   12.8    4.2    0.9    -1.0    14.0    24.9    12.6   12.63
1997   -3.8    1.3    8.7   14.5   19.9   24.6   28.2   26.5   18.6   14.0    5.4   -1.5    -0.5    14.4    26.4    12.7   13.23
1998   -3.9    2.4    7.6   15.0   19.8   23.6   26.5   25.1   22.2   14.8    4.0    0.1    -1.0    14.1    25.1    13.7   12.97
1999   -1.6    2.2    4.8   14.4   19.5   25.3   28.1   25.6   20.8   13.0    5.9   -0.6     0.2    12.9    26.3    13.2   13.18
2000   -6.4   -1.5    8.0   14.6   20.4   26.7  999.9   25.7   21.8   12.6    3.0   -0.6    -2.8    14.3    26.7    12.5   12.67
2001   -5.4   -1.5    7.3   14.4   23.1   25.7   27.3   25.8   21.2   13.8    5.3   -2.4    -2.5    14.9    26.3    13.4   13.03
2002    0.1    3.4    9.8   14.1   21.9   23.6   27.5   25.7   20.5   10.7    3.4   -2.9     0.4    15.3    25.6    11.5   13.19
2003   -3.1    0.9    6.3   15.3   21.0   24.7   26.1   26.2   20.6   13.2    3.5    0.3    -1.7    14.2    25.7    12.4   12.65
2004   -2.3    2.9    7.8   16.3   20.5   25.0   26.0   24.9   21.3   14.0    6.5   -0.5     0.3    14.9    25.3    13.9   13.60
2005   -2.8   -2.9    6.3   16.4   19.8   25.6   27.9   26.0   22.1   14.9    7.5   -2.5    -2.1    14.2    26.5    14.8   13.36
2006   -1.9   -0.9    8.0   13.5   20.4   25.9   25.9   26.4   21.8   16.1    6.8   -1.0    -1.8    14.0    26.1    14.9   13.29
2007   -1.5    3.7    6.3   15.2   22.6   26.2   26.9   26.6   22.4   13.6    5.6    0.5     0.4    14.7    26.6    13.9   13.88
2008   -3.0    0.6    9.1   15.9   20.3   23.4   27.2   26.1   21.0   14.6    6.3   -1.0    -0.6    15.1    25.6    14.0   13.50
2009   -3.0    1.0    7.0   15.9   22.9   26.2   27.0   25.7   21.1   15.3    2.2   -2.3    -1.0    15.3    26.3    12.9   13.36
2010   -4.8   -1.0    4.1   11.2   21.7   24.7   28.6   26.5   21.3   13.6    5.8   -1.0    -2.7    12.3    26.6    13.6   12.45
2011   -4.5   -0.1    8.1   15.2   21.3   26.4   27.5   26.4   20.2   14.2    7.1   -1.0    -1.9    14.9    26.8    13.8   13.40
2012   -3.6   -1.3    5.9   16.2   22.8   25.0   27.4   26.0   21.1   14.6    4.3   -4.2    -2.0    15.0    26.1    13.3   13.12
2013   -4.6   -1.4    6.2   12.6   21.9   23.8   27.4   27.3  999.9   13.6    6.3    0.1    -3.4    13.6    26.2    13.7   12.52
2014   -0.6   -0.4   10.1   17.1   22.2   25.1   28.1   26.3   21.0   14.0    6.4   -0.5    -0.3    16.5    26.5    13.8   14.12
2015  999.9    1.3    8.8   15.5   21.5   24.9   26.8   26.7   21.0   14.7    3.6    0.2    -0.4    15.3    26.1    13.1   13.52
2016   -4.2    1.5    9.0   16.2   21.5   25.9   27.4   27.5   22.2   13.4    4.3    0.3    -0.8    15.6    26.9    13.3   13.74
2017   -1.7    2.0    8.5   17.1   23.3   25.6   27.9   26.2   23.0   12.3  999.9  999.9     0.2    16.3    26.6   999.9  999.90
